Err?=(aucune)/besoin |/:Err?=(aucune)/besoin:Réinstallation:(État,Err::majuscule=mauvais) 
Nom ||/:Nom:Version:Architecture:Description 
libuv1:amd64 ii:libuv1:amd64:1.40.0-2:amd64:asynchronous:event:notification:library:-:runtime:library 1.40.02
libv4l-0:amd64 ii:libv4l-0:amd64:1.20.0-2:amd64:Collection:of:video4linux:support:libraries 1.20.02
libv4lconvert0:amd64 ii:libv4lconvert0:amd64:1.20.0-2:amd64:Video4linux:frame:format:conversion:library 1.20.02
libva-drm2:amd64 ii:libva-drm2:amd64:2.10.0-1:amd64:Video:Acceleration:(VA):API:for:Linux:--:DRM:runtime 2.10.01
libva-x11-2:amd64 ii:libva-x11-2:amd64:2.10.0-1:amd64:Video:Acceleration:(VA):API:for:Linux:--:X11:runtime 2.10.01
libva2:amd64 ii:libva2:amd64:2.10.0-1:amd64:Video:Acceleration:(VA):API:for:Linux:--:runtime 2.10.01
libvdpau-va-gl1:amd64 ii:libvdpau-va-gl1:amd64:0.4.2-1+b1:amd64:VDPAU:driver:with:OpenGL/VAAPI:backend 0.4.21
libvdpau1:amd64 ii:libvdpau1:amd64:1.4-3:amd64:Video:Decode:and:Presentation:API:for:Unix:(libraries) 1.43
libvidstab1.1:amd64 ii:libvidstab1.1:amd64:1.1.0-2+b1:amd64:video:stabilization:library:(shared:library) 1.1.02
libvisio-0.1-1:amd64 ii:libvisio-0.1-1:amd64:0.1.7-1+b1:amd64:library:for:parsing:the:visio:file:structure 0.1.71
libvisual-0.4-0:amd64 ii:libvisual-0.4-0:amd64:0.4.0-17:amd64:audio:visualization:framework 0.4.017
libvncserver1:amd64 ii:libvncserver1:amd64:0.9.13+dfsg-2+deb11u1:amd64:API:to:write:one's:own:VNC:server 0.9.13
libvo-aacenc0:amd64 ii:libvo-aacenc0:amd64:0.1.3-2:amd64:VisualOn:AAC:encoder:library 0.1.32
libvo-amrwbenc0:amd64 ii:libvo-amrwbenc0:amd64:0.1.3-2:amd64:VisualOn:AMR-WB:encoder:library 0.1.32
libvolume-key1 ii:libvolume-key1:0.3.12-3.1+b1:amd64:Library:for:manipulating:storage:encryption:keys:and:passphrases 0.3.123.1
libvorbis0a:amd64 ii:libvorbis0a:amd64:1.3.7-1:amd64:decoder:library:for:Vorbis:General:Audio:Compression:Codec 1.3.71
libvorbisenc2:amd64 ii:libvorbisenc2:amd64:1.3.7-1:amd64:encoder:library:for:Vorbis:General:Audio:Compression:Codec 1.3.71
libvorbisfile3:amd64 ii:libvorbisfile3:amd64:1.3.7-1:amd64:high-level:API:for:Vorbis:General:Audio:Compression:Codec 1.3.71
libvpx6:amd64 ii:libvpx6:amd64:1.9.0-1:amd64:VP8:and:VP9:video:codec:(shared:library) 1.9.01
libvte-2.91-0:amd64 ii:libvte-2.91-0:amd64:0.62.3-1:amd64:Terminal:emulator:widget:for:GTK+:3.0:-:runtime:files 0.62.31
libvte-2.91-common ii:libvte-2.91-common:0.62.3-1:amd64:Terminal:emulator:widget:for:GTK+:3.0:-:common:files 0.62.31
libvulkan1:amd64 ii:libvulkan1:amd64:1.2.162.0-1:amd64:Vulkan:loader:library 1.2.162.01
libwacom-bin ii:libwacom-bin:1.8-2:amd64:Wacom:model:feature:query:library:--:binaries 1.82
libwacom-common ii:libwacom-common:1.8-2:all:Wacom:model:feature:query:library:(common:files) 1.82
libwacom2:amd64 ii:libwacom2:amd64:1.8-2:amd64:Wacom:model:feature:query:library 1.82
libwavpack1:amd64 ii:libwavpack1:amd64:5.4.0-1:amd64:audio:codec:(lossy:and:lossless):-:library 5.4.01
libwayland-client0:amd64 ii:libwayland-client0:amd64:1.18.0-2~exp1.1:amd64:wayland:compositor:infrastructure:-:client:library 1.18.021.1
libwayland-cursor0:amd64 ii:libwayland-cursor0:amd64:1.18.0-2~exp1.1:amd64:wayland:compositor:infrastructure:-:cursor:library 1.18.021.1
libwayland-egl1:amd64 ii:libwayland-egl1:amd64:1.18.0-2~exp1.1:amd64:wayland:compositor:infrastructure:-:EGL:library 1.18.021.1
libwayland-server0:amd64 ii:libwayland-server0:amd64:1.18.0-2~exp1.1:amd64:wayland:compositor:infrastructure:-:server:library 1.18.021.1
libwbclient0:amd64 ii:libwbclient0:amd64:2:4.13.13+dfsg-1~deb11u5:amd64:Samba:winbind:client:library 24.13.13
libwebkit2gtk-4.0-37:amd64 ii:libwebkit2gtk-4.0-37:amd64:2.38.5-1~deb11u1:amd64:Web:content:engine:library:for:GTK 2.38.51111
libwebp6:amd64 ii:libwebp6:amd64:0.6.1-2.1:amd64:Lossy:compression:of:digital:photographic:images. 0.6.12.1
libwebpdemux2:amd64 ii:libwebpdemux2:amd64:0.6.1-2.1:amd64:Lossy:compression:of:digital:photographic:images. 0.6.12.1
libwebpmux3:amd64 ii:libwebpmux3:amd64:0.6.1-2.1:amd64:Lossy:compression:of:digital:photographic:images. 0.6.12.1
libwebrtc-audio-processing1:amd64 ii:libwebrtc-audio-processing1:amd64:0.3-1+b1:amd64:AudioProcessing:module:from:the:WebRTC:project. 0.31
libwildmidi2:amd64 ii:libwildmidi2:amd64:0.4.3-1:amd64:software:MIDI:player:library 0.4.31
libwinpr2-2:amd64 ii:libwinpr2-2:amd64:2.3.0+dfsg1-2+deb11u1:amd64:Windows:Portable:Runtime:library 2.3.0
libwnck-3-0:amd64 ii:libwnck-3-0:amd64:3.36.0-1:amd64:Window:Navigator:Construction:Kit:-:runtime:files 3.36.01
libwnck-3-common ii:libwnck-3-common:3.36.0-1:all:Window:Navigator:Construction:Kit:-:common:files 3.36.01
libwoff1:amd64 ii:libwoff1:amd64:1.0.2-1+b1:amd64:library:for:converting:fonts:to:WOFF:2.0 1.0.21
libwpd-0.10-10:amd64 ii:libwpd-0.10-10:amd64:0.10.3-1:amd64:Library:for:handling:WordPerfect:documents:(shared:library) 0.10.31
libwpe-1.0-1:amd64 ii:libwpe-1.0-1:amd64:1.10.0-2:amd64:Base:library:for:the:WPE:WebKit:port 1.10.02
libwpebackend-fdo-1.0-1:amd64 ii:libwpebackend-fdo-1.0-1:amd64:1.8.0-1:amd64:WPE:backend:for:FreeDesktop.org 1.8.01
libwpg-0.3-3:amd64 ii:libwpg-0.3-3:amd64:0.3.3-1:amd64:WordPerfect:graphics:import/convert:library:(shared:library) 0.3.31
libwps-0.4-4:amd64 ii:libwps-0.4-4:amd64:0.4.12-1:amd64:Works:text:file:format:import:filter:library:(shared:library) 0.4.121
libwrap0:amd64 ii:libwrap0:amd64:7.6.q-31:amd64:Wietse:Venema's:TCP:wrappers:library 7.6.31
libwww-perl ii:libwww-perl:6.52-1:all:simple:and:consistent:interface:to:the:world-wide:web 6.521
libwww-robotrules-perl ii:libwww-robotrules-perl:6.02-1:all:database:of:robots.txt-derived:permissions 6.021
libx11-6:amd64 ii:libx11-6:amd64:2:1.7.2-1:amd64:X11:client-side:library 21.7.21
libx11-data ii:libx11-data:2:1.7.2-1:all:X11:client-side:library 21.7.21
libx11-protocol-perl ii:libx11-protocol-perl:0.56-7.1:all:Perl:module:for:the:X:Window:System:Protocol,:version:11 0.567.1
libx11-xcb1:amd64 ii:libx11-xcb1:amd64:2:1.7.2-1:amd64:Xlib/XCB:interface:library 21.7.21
libx264-160:amd64 ii:libx264-160:amd64:2:0.160.3011+gitcde9a93-2.1:amd64:x264:video:coding:library 20.160.3011
libx265-192:amd64 ii:libx265-192:amd64:3.4-2:amd64:H.265/HEVC:video:stream:encoder:(shared:library) 3.42
libxapian30:amd64 ii:libxapian30:amd64:1.4.18-3:amd64:Search:engine:library 1.4.183
libxatracker2:amd64 ii:libxatracker2:amd64:20.3.5-1:amd64:X:acceleration:library:--:runtime 20.3.51
libxau6:amd64 ii:libxau6:amd64:1:1.0.9-1:amd64:X11:authorisation:library 11.0.91
libxaw7:amd64 ii:libxaw7:amd64:2:1.0.13-1.1:amd64:X11:Athena:Widget:library 21.0.131.1
libxcb-dri2-0:amd64 ii:libxcb-dri2-0:amd64:1.14-3:amd64:X:C:Binding,:dri2:extension 1.143
libxcb-dri3-0:amd64 ii:libxcb-dri3-0:amd64:1.14-3:amd64:X:C:Binding,:dri3:extension 1.143
libxcb-glx0:amd64 ii:libxcb-glx0:amd64:1.14-3:amd64:X:C:Binding,:glx:extension 1.143
libxcb-icccm4:amd64 ii:libxcb-icccm4:amd64:0.4.1-1.1:amd64:utility:libraries:for:X:C:Binding:--:icccm 0.4.11.1
libxcb-image0:amd64 ii:libxcb-image0:amd64:0.4.0-1+b3:amd64:utility:libraries:for:X:C:Binding:--:image 0.4.01
libxcb-keysyms1:amd64 ii:libxcb-keysyms1:amd64:0.4.0-1+b2:amd64:utility:libraries:for:X:C:Binding:--:keysyms 0.4.01
libxcb-present0:amd64 ii:libxcb-present0:amd64:1.14-3:amd64:X:C:Binding,:present:extension 1.143
libxcb-randr0:amd64 ii:libxcb-randr0:amd64:1.14-3:amd64:X:C:Binding,:randr:extension 1.143
libxcb-render-util0:amd64 ii:libxcb-render-util0:amd64:0.3.9-1+b1:amd64:utility:libraries:for:X:C:Binding:--:render-util 0.3.91
libxcb-render0:amd64 ii:libxcb-render0:amd64:1.14-3:amd64:X:C:Binding,:render:extension 1.143
libxcb-res0:amd64 ii:libxcb-res0:amd64:1.14-3:amd64:X:C:Binding,:res:extension 1.143
libxcb-shape0:amd64 ii:libxcb-shape0:amd64:1.14-3:amd64:X:C:Binding,:shape:extension 1.143
libxcb-shm0:amd64 ii:libxcb-shm0:amd64:1.14-3:amd64:X:C:Binding,:shm:extension 1.143
libxcb-sync1:amd64 ii:libxcb-sync1:amd64:1.14-3:amd64:X:C:Binding,:sync:extension 1.143
libxcb-util1:amd64 ii:libxcb-util1:amd64:0.4.0-1+b1:amd64:utility:libraries:for:X:C:Binding:--:atom,:aux:and:event 0.4.01
libxcb-xfixes0:amd64 ii:libxcb-xfixes0:amd64:1.14-3:amd64:X:C:Binding,:xfixes:extension 1.143
libxcb-xinerama0:amd64 ii:libxcb-xinerama0:amd64:1.14-3:amd64:X:C:Binding,:xinerama:extension 1.143
libxcb-xinput0:amd64 ii:libxcb-xinput0:amd64:1.14-3:amd64:X:C:Binding,:xinput:extension 1.143
libxcb-xkb1:amd64 ii:libxcb-xkb1:amd64:1.14-3:amd64:X:C:Binding,:XKEYBOARD:extension 1.143
libxcb-xv0:amd64 ii:libxcb-xv0:amd64:1.14-3:amd64:X:C:Binding,:xv:extension 1.143
libxcb1:amd64 ii:libxcb1:amd64:1.14-3:amd64:X:C:Binding 1.143
libxcomposite1:amd64 ii:libxcomposite1:amd64:1:0.4.5-1:amd64:X11:Composite:extension:library 10.4.51
libxcursor1:amd64 ii:libxcursor1:amd64:1:1.2.0-2:amd64:X:cursor:management:library 11.2.02
libxdamage1:amd64 ii:libxdamage1:amd64:1:1.1.5-2:amd64:X11:damaged:region:extension:library 11.1.52
libxdmcp6:amd64 ii:libxdmcp6:amd64:1:1.1.2-3:amd64:X11:Display:Manager:Control:Protocol:library 11.1.23
libxext6:amd64 ii:libxext6:amd64:2:1.3.3-1.1:amd64:X11:miscellaneous:extension:library 21.3.31.1
libxfixes3:amd64 ii:libxfixes3:amd64:1:5.0.3-2:amd64:X11:miscellaneous:'fixes':extension:library 15.0.32
libxfont2:amd64 ii:libxfont2:amd64:1:2.0.4-1:amd64:X11:font:rasterisation:library 12.0.41
libxft2:amd64 ii:libxft2:amd64:2.3.2-2:amd64:FreeType-based:font:drawing:library:for:X 2.3.22
libxi6:amd64 ii:libxi6:amd64:2:1.7.10-1:amd64:X11:Input:extension:library 21.7.101
libxinerama1:amd64 ii:libxinerama1:amd64:2:1.1.4-2:amd64:X11:Xinerama:extension:library 21.1.42
libxkbcommon-x11-0:amd64 ii:libxkbcommon-x11-0:amd64:1.0.3-2:amd64:library:to:create:keymaps:with:the:XKB:X11:protocol 1.0.32
libxkbcommon0:amd64 ii:libxkbcommon0:amd64:1.0.3-2:amd64:library:interface:to:the:XKB:compiler:-:shared:library 1.0.32
libxkbfile1:amd64 ii:libxkbfile1:amd64:1:1.1.0-1:amd64:X11:keyboard:file:manipulation:library 11.1.01
libxkbregistry0:amd64 ii:libxkbregistry0:amd64:1.0.3-2:amd64:library:to:query:available:RMLVO 1.0.32
libxklavier16:amd64 ii:libxklavier16:amd64:5.4-4:amd64:X:Keyboard:Extension:high-level:API 5.44
libxml-parser-perl:amd64 ii:libxml-parser-perl:amd64:2.46-2:amd64:Perl:module:for:parsing:XML:files 2.462
libxml-twig-perl ii:libxml-twig-perl:1:3.52-1:all:Perl:module:for:processing:huge:XML:documents:in:tree:mode 13.521
libxml-xpathengine-perl ii:libxml-xpathengine-perl:0.14-1:all:re-usable:XPath:engine:for:DOM-like:trees 0.141
libxml2:amd64 ii:libxml2:amd64:2.9.10+dfsg-6.7+deb11u3:amd64:GNOME:XML:library 2.9.10
libxmlb1:amd64 ii:libxmlb1:amd64:0.1.15-2:amd64:Binary:XML:library 0.1.152
libxmlsec1:amd64 ii:libxmlsec1:amd64:1.2.31-1:amd64:XML:security:library 1.2.311
libxmlsec1-nss:amd64 ii:libxmlsec1-nss:amd64:1.2.31-1:amd64:Nss:engine:for:the:XML:security:library 1.2.311
libxmlsec1-openssl:amd64 ii:libxmlsec1-openssl:amd64:1.2.31-1:amd64:Openssl:engine:for:the:XML:security:library 1.2.311
libxmu6:amd64 ii:libxmu6:amd64:2:1.1.2-2+b3:amd64:X11:miscellaneous:utility:library 21.1.22
libxmuu1:amd64 ii:libxmuu1:amd64:2:1.1.2-2+b3:amd64:X11:miscellaneous:micro-utility:library 21.1.22
libxpm4:amd64 ii:libxpm4:amd64:1:3.5.12-1:amd64:X11:pixmap:library 13.5.121
libxrandr2:amd64 ii:libxrandr2:amd64:2:1.5.1-1:amd64:X11:RandR:extension:library 21.5.11
libxrender1:amd64 ii:libxrender1:amd64:1:0.9.10-1:amd64:X:Rendering:Extension:client:library 10.9.101
libxres1:amd64 ii:libxres1:amd64:2:1.2.0-4:amd64:X11:Resource:extension:library 21.2.04
libxshmfence1:amd64 ii:libxshmfence1:amd64:1.3-1:amd64:X:shared:memory:fences:-:shared:library 1.31
libxslt1.1:amd64 ii:libxslt1.1:amd64:1.1.34-4+deb11u1:amd64:XSLT:1.0:processing:library:-:runtime:library 1.1.344
libxss1:amd64 ii:libxss1:amd64:1:1.2.3-1:amd64:X11:Screen:Saver:extension:library 11.2.31
libxt6:amd64 ii:libxt6:amd64:1:1.2.0-1:amd64:X11:toolkit:intrinsics:library 11.2.01
libxtables12:amd64 ii:libxtables12:amd64:1.8.7-1:amd64:netfilter:xtables:library 1.8.71
libxtst6:amd64 ii:libxtst6:amd64:2:1.2.3-1:amd64:X11:Testing:--:Record:extension:library 21.2.31
libxv1:amd64 ii:libxv1:amd64:2:1.0.11-1:amd64:X11:Video:extension:library 21.0.111
libxvidcore4:amd64 ii:libxvidcore4:amd64:2:1.3.7-1:amd64:Open:source:MPEG-4:video:codec:(library) 21.3.71
libxvmc1:amd64 ii:libxvmc1:amd64:2:1.0.12-2:amd64:X11:Video:extension:library 21.0.122
libxxf86dga1:amd64 ii:libxxf86dga1:amd64:2:1.1.4-1+b3:amd64:X11:Direct:Graphics:Access:extension:library 21.1.41
libxxf86vm1:amd64 ii:libxxf86vm1:amd64:1:1.1.4-1+b2:amd64:X11:XFree86:video:mode:extension:library 11.1.41
libxxhash0:amd64 ii:libxxhash0:amd64:0.8.0-2:amd64:shared:library:for:xxhash 0.8.02
libyajl2:amd64 ii:libyajl2:amd64:2.1.0-3:amd64:Yet:Another:JSON:Library 2.1.03
libyaml-0-2:amd64 ii:libyaml-0-2:amd64:0.2.2-1:amd64:Fast:YAML:1.1:parser:and:emitter:library 0.2.21
libyelp0:amd64 ii:libyelp0:amd64:3.38.3-1:amd64:Library:for:the:GNOME:help:browser 3.38.31
libytnef0:amd64 ii:libytnef0:amd64:1.9.3-3:amd64:improved:decoder:for:application/ms-tnef:attachments 1.9.33
libz3-4:amd64 ii:libz3-4:amd64:4.8.10-1:amd64:theorem:prover:from:Microsoft:Research:-:runtime:libraries 4.8.101
libzapojit-0.0-0:amd64 ii:libzapojit-0.0-0:amd64:0.0.3-5:amd64:Library:for:accessing:SkyDrive:and:Hotmail:-:shared:libraries 0.0.35
libzbar0:amd64 ii:libzbar0:amd64:0.23.90-1:amd64:QR:code:/:bar:code:scanner:and:decoder:(library) 0.23.901
libzmf-0.0-0:amd64 ii:libzmf-0.0-0:amd64:0.0.2-1+b3:amd64:Zoner:Draw/Zebra:file:reading/converting:library 0.0.21
libzmq5:amd64 ii:libzmq5:amd64:4.3.4-1:amd64:lightweight:messaging:kernel:(shared:library) 4.3.41
libzstd1:amd64 ii:libzstd1:amd64:1.4.8+dfsg-2.1:amd64:fast:lossless:compression:algorithm 1.4.8
libzvbi-common ii:libzvbi-common:0.2.35-18:all:Vertical:Blanking:Interval:decoder:(VBI):-:common:files 0.2.3518
libzvbi0:amd64 ii:libzvbi0:amd64:0.2.35-18:amd64:Vertical:Blanking:Interval:decoder:(VBI):-:runtime:files 0.2.3518
lightsoff ii:lightsoff:1:3.38.0-1:amd64:Light:puzzle:game 13.38.01
linux-base ii:linux-base:4.6:all:Linux:image:base:package 4.6
linux-image-5.10.0-20-amd64 ii:linux-image-5.10.0-20-amd64:5.10.158-2:amd64:Linux:5.10:for:64-bit:PCs:(signed) 5.10.1582
linux-image-5.10.0-21-amd64 ii:linux-image-5.10.0-21-amd64:5.10.162-1:amd64:Linux:5.10:for:64-bit:PCs:(signed) 5.10.1621
linux-image-amd64 ii:linux-image-amd64:5.10.162-1:amd64:Linux:for:64-bit:PCs:(meta-package) 5.10.1621
linux-libc-dev:amd64 ii:linux-libc-dev:amd64:5.10.162-1:amd64:Linux:support:headers:for:userspace:development 5.10.1621
locales ii:locales:2.31-13+deb11u5:all:GNU:C:Library::National:Language:(locale):data:[support] 2.3113
login ii:login:1:4.8.1-1:amd64:system:login:tools 14.8.11
logrotate ii:logrotate:3.18.0-2+deb11u1:amd64:Log:rotation:utility 3.18.02
logsave ii:logsave:1.46.2-2:amd64:save:the:output:of:a:command:in:a:log:file 1.46.22
lp-solve ii:lp-solve:5.5.2.5-2:amd64:Solve:(mixed:integer):linear:programming:problems 5.5.2.52
lsb-base ii:lsb-base:11.1.0:all:Linux:Standard:Base:init:script:functionality 11.1.0
lsb-release ii:lsb-release:11.1.0:all:Linux:Standard:Base:version:reporting:utility 11.1.0
lsof ii:lsof:4.93.2+dfsg-1.1:amd64:utility:to:list:open:files 4.93.2
lua-bitop:amd64 ii:lua-bitop:amd64:1.0.2-5:amd64:fast:bit:manipulation:library:for:the:Lua:language 1.0.25
lua-expat:amd64 ii:lua-expat:amd64:1.3.0-4+b1:amd64:libexpat:bindings:for:the:Lua:language 1.3.04
lua-json ii:lua-json:1.3.4-2:all:JSON:decoder/encoder:for:Lua 1.3.42
lua-lpeg:amd64 ii:lua-lpeg:amd64:1.0.2-1:amd64:LPeg:library:for:the:Lua:language 1.0.21
lua-socket:amd64 ii:lua-socket:amd64:3.0~rc1+git+ac3201d-4:amd64:TCP/UDP:socket:library:for:the:Lua:language 3.01
mailcap ii:mailcap:3.69:all:Debian's:mailcap:system,:and:support:programs 3.69
make ii:make:4.3-4.1:amd64:utility:for:directing:compilation 4.34.1
malcontent ii:malcontent:0.10.0-2:all:framework:for:parental:control:of:applications 0.10.02
malcontent-gui ii:malcontent-gui:0.10.0-2:amd64:GUI:to:configure:malcontent 0.10.02
man-db ii:man-db:2.9.4-2:amd64:tools:for:reading:manual:pages 2.9.42
manpages ii:manpages:5.10-1:all:Manual:pages:about:using:a:GNU/Linux:system 5.101
manpages-dev ii:manpages-dev:5.10-1:all:Manual:pages:about:using:GNU/Linux:for:development 5.101
manpages-fr ii:manpages-fr:4.10.0-1:all:French:manpages 4.10.01
mawk ii:mawk:1.3.4.20200120-2:amd64:Pattern:scanning:and:text:processing:language 1.3.4.202001202
media-player-info ii:media-player-info:24-2:all:Media:player:identification:files 242
media-types ii:media-types:4.0.0:all:List:of:standard:media:types:and:their:usual:file:extension 4.0.0
mesa-va-drivers:amd64 ii:mesa-va-drivers:amd64:20.3.5-1:amd64:Mesa:VA-API:video:acceleration:drivers 20.3.51
mesa-vdpau-drivers:amd64 ii:mesa-vdpau-drivers:amd64:20.3.5-1:amd64:Mesa:VDPAU:video:acceleration:drivers 20.3.51
mesa-vulkan-drivers:amd64 ii:mesa-vulkan-drivers:amd64:20.3.5-1:amd64:Mesa:Vulkan:graphics:drivers 20.3.51
mime-support ii:mime-support:3.66:all:transitional:package 3.66
mobile-broadband-provider-info ii:mobile-broadband-provider-info:20201225-1:all:database:of:mobile:broadband:service:providers 202012251
modemmanager ii:modemmanager:1.14.12-0.2:amd64:D-Bus:service:for:managing:modems 1.14.120.2
mount ii:mount:2.36.1-8+deb11u1:amd64:tools:for:mounting:and:manipulating:filesystems 2.36.18
mutter-common ii:mutter-common:3.38.6-2~deb11u2:all:shared:files:for:the:Mutter:window:manager 3.38.62112
mythes-en-us ii:mythes-en-us:1:7.1.0~rc3-3:all:English:(USA):Thesaurus:for:LibreOffice 17.1.033
mythes-fr ii:mythes-fr:1:7.1.0~rc3-3:all:French:Thesaurus:for:LibreOffice 17.1.033
nano ii:nano:5.4-2+deb11u2:amd64:small,:friendly:text:editor:inspired:by:Pico 5.42
nautilus ii:nautilus:3.38.2-1+deb11u1:amd64:file:manager:and:graphical:shell:for:GNOME 3.38.21
nautilus-data ii:nautilus-data:3.38.2-1+deb11u1:all:data:files:for:nautilus 3.38.21
nautilus-extension-brasero ii:nautilus-extension-brasero:3.12.2-6:amd64:CD/DVD:burning:integration:for:Nautilus 3.12.26
nautilus-extension-gnome-terminal ii:nautilus-extension-gnome-terminal:3.38.3-1:amd64:GNOME:terminal:emulator:application:-:Nautilus:extension 3.38.31
ncurses-base ii:ncurses-base:6.2+20201114-2:all:basic:terminal:type:definitions 6.2
ncurses-bin ii:ncurses-bin:6.2+20201114-2:amd64:terminal-related:programs:and:man:pages 6.2
ncurses-term ii:ncurses-term:6.2+20201114-2:all:additional:terminal:type:definitions 6.2
net-tools ii:net-tools:1.60+git20181103.0eebece-1:amd64:NET-3:networking:toolkit 1.60
netbase ii:netbase:6.3:all:Basic:TCP/IP:networking:system 6.3
netcat-traditional ii:netcat-traditional:1.10-46:amd64:TCP/IP:swiss:army:knife 1.1046
network-manager ii:network-manager:1.30.6-1+deb11u1:amd64:network:management:framework:(daemon:and:userspace:tools) 1.30.61
network-manager-gnome ii:network-manager-gnome:1.20.0-3:amd64:network:management:framework:(GNOME:frontend) 1.20.03
nftables ii:nftables:0.9.8-3.1+deb11u1:amd64:Program:to:control:packet:filtering:rules:by:Netfilter:project 0.9.83.1
node-normalize.css ii:node-normalize.css:8.0.1-3:all:Modern:alternative:to:CSS:resets 8.0.13
notification-daemon ii:notification-daemon:3.20.0-4:amd64:daemon:for:displaying:passive:pop-up:notifications 3.20.04
ntfs-3g ii:ntfs-3g:1:2017.3.23AR.3-4+deb11u3:amd64:read/write:NTFS:driver:for:FUSE 12017.3.23.34
ocl-icd-libopencl1:amd64 ii:ocl-icd-libopencl1:amd64:2.2.14-2:amd64:Generic:OpenCL:ICD:Loader 2.2.142
open-vm-tools ii:open-vm-tools:2:11.2.5-2+deb11u1:amd64:Open:VMware:Tools:for:virtual:machines:hosted:on:VMware:(CLI) 211.2.52
open-vm-tools-desktop ii:open-vm-tools-desktop:2:11.2.5-2+deb11u1:amd64:Open:VMware:Tools:for:virtual:machines:hosted:on:VMware:(GUI) 211.2.52
openssh-client ii:openssh-client:1:8.4p1-5+deb11u1:amd64:secure:shell:(SSH):client,:for:secure:access:to:remote:machines 18.415
openssl ii:openssl:1.1.1n-0+deb11u4:amd64:Secure:Sockets:Layer:toolkit:-:cryptographic:utility 1.1.10
orca ii:orca:3.38.2-2:all:Scriptable:screen:reader 3.38.22
os-prober ii:os-prober:1.79:amd64:utility:to:detect:other:OSes:on:a:set:of:drives 1.79
osinfo-db ii:osinfo-db:0.20210215-1:all:Operating:system:database:files 0.202102151
p11-kit ii:p11-kit:0.23.22-1:amd64:p11-glue:utilities 0.23.221
p11-kit-modules:amd64 ii:p11-kit-modules:amd64:0.23.22-1:amd64:p11-glue:proxy:and:trust:modules 0.23.221
p7zip ii:p7zip:16.02+dfsg-8:amd64:7zr:file:archiver:with:high:compression:ratio 16.02
p7zip-full ii:p7zip-full:16.02+dfsg-8:amd64:7z:and:7za:file:archivers:with:high:compression:ratio 16.02
packagekit ii:packagekit:1.2.2-2:amd64:Provides:a:package:management:service 1.2.22
packagekit-tools ii:packagekit-tools:1.2.2-2:amd64:Provides:PackageKit:command-line:tools 1.2.22
parted ii:parted:3.4-1:amd64:disk:partition:manipulator 3.41
passwd ii:passwd:1:4.8.1-1:amd64:change:and:administer:password:and:group:data 14.8.11
patch ii:patch:2.7.6-7:amd64:Apply:a:diff:file:to:an:original 2.7.67
pci.ids ii:pci.ids:0.0~2021.02.08-1:all:PCI:ID:Repository 0.02021.02.081
pciutils ii:pciutils:1:3.7.0-5:amd64:PCI:utilities 13.7.05
perl ii:perl:5.32.1-4+deb11u2:amd64:Larry:Wall's:Practical:Extraction:and:Report:Language 5.32.14
perl-base ii:perl-base:5.32.1-4+deb11u2:amd64:minimal:Perl:system 5.32.14
perl-modules-5.32 ii:perl-modules-5.32:5.32.1-4+deb11u2:all:Core:Perl:modules 5.32.14
perl-openssl-defaults:amd64 ii:perl-openssl-defaults:amd64:5:amd64:version:compatibility:baseline:for:Perl:OpenSSL:packages 5
perl-tk ii:perl-tk:1:804.035-0.1+b1:amd64:Perl:module:providing:the:Tk:graphics:library 1804.0350.1
pinentry-gnome3 ii:pinentry-gnome3:1.1.0-4:amd64:GNOME:3:PIN:or:pass-phrase:entry:dialog:for:GnuPG 1.1.04
pipewire:amd64 ii:pipewire:amd64:0.3.19-4:amd64:audio:and:video:processing:engine:multimedia:server 0.3.194
pipewire-bin ii:pipewire-bin:0.3.19-4:amd64:PipeWire:multimedia:server:-:programs 0.3.194
pkg-config ii:pkg-config:0.29.2-1:amd64:manage:compile:and:link:flags:for:libraries 0.29.21
plymouth ii:plymouth:0.9.5-3:amd64:boot:animation,:logger:and:I/O:multiplexer 0.9.53
plymouth-label ii:plymouth-label:0.9.5-3:amd64:boot:animation,:logger:and:I/O:multiplexer:-:label:control 0.9.53
pocketsphinx-en-us ii:pocketsphinx-en-us:0.8+5prealpha+1-13:all:Speech:recognition:tool:-:US:English:language:model 0.8
policykit-1 ii:policykit-1:0.105-31+deb11u1:amd64:framework:for:managing:administrative:policies:and:privileges 0.10531
poppler-data ii:poppler-data:0.4.10-1:all:encoding:data:for:the:poppler:PDF:rendering:library 0.4.101
poppler-utils ii:poppler-utils:20.09.0-3.1+deb11u1:amd64:PDF:utilities:(based:on:Poppler) 20.09.03.1
ppp ii:ppp:2.4.9-1+1:amd64:Point-to-Point:Protocol:(PPP):-:daemon 2.4.91
procps ii:procps:2:3.3.17-5:amd64:/proc:file:system:utilities 23.3.175
psmisc ii:psmisc:23.4-2:amd64:utilities:that:use:the:proc:file:system 23.42
publicsuffix ii:publicsuffix:20220811.1734-0+deb11u1:all:accurate,:machine-readable:list:of:domain:name:suffixes 20220811.17340
pulseaudio ii:pulseaudio:14.2-2:amd64:PulseAudio:sound:server 14.22
pulseaudio-module-bluetooth ii:pulseaudio-module-bluetooth:14.2-2:amd64:Bluetooth:module:for:PulseAudio:sound:server 14.22
pulseaudio-utils ii:pulseaudio-utils:14.2-2:amd64:Command:line:tools:for:the:PulseAudio:sound:server 14.22
python-apt-common ii:python-apt-common:2.2.1:all:Python:interface:to:libapt-pkg:(locales) 2.2.1
